"Iteration","Cd-Pressure ALL: Cd-Pressure ALL","Cd-Pressure HEAD-UP: Cd-Pressure HEAD-UP","Cd-Pressure HEAD-NOSE: Cd-Pressure HEAD-NOSE","Cd-Pressure HEAD-DOWN: Cd-Pressure HEAD-DOWN","Cd-Pressure HEAD-REST: Cd-Pressure HEAD-REST","Cd-Pressure MIDDLE: Cd-Pressure MIDDLE","Cd-Pressure TAIL-UP: Cd-Pressure TAIL-UP","Cd-Pressure TAIL-NOSE: Cd-Pressure TAIL-NOSE","Cd-Pressure TAIL-DOWN: Cd-Pressure TAIL-DOWN","Cd-Pressure TAIL-REST: Cd-Pressure TAIL-REST","Cd-Shear ALL: Cd-Shear ALL","Cd-Shear HEAD-UP: Cd-Shear HEAD-UP","Cd-Shear HEAD-NOSE: Cd-Shear HEAD-NOSE","Cd-Shear HEAD-DOWN: Cd-Shear HEAD-DOWN","Cd-Shear HEAD-REST: Cd-Shear HEAD-REST","Cd-Shear MIDDLE: Cd-Shear MIDDLE","Cd-Shear TAIL-UP: Cd-Shear TAIL-UP","Cd-Shear TAIL-NOSE: Cd-Shear TAIL-NOSE","Cd-Shear TAIL-DOWN: Cd-Shear TAIL-DOWN","Cd-Shear TAIL-REST: Cd-Shear TAIL-REST"
1.0,6.222151426419669,1.1630000177428805,0.8132597996701673,0.2877569164903187,0.8494334652933382,1.9687404596612022E-4,1.197844206914336,0.8114762931156124,0.28556315216630485,0.8136207009807437,0.04667854815109965,0.0014662244001676335,2.1310342909630026E-4,0.0021803465693163433,0.0029038594170115724,0.033151827505690526,0.0015008534900923275,2.1313040687688826E-4,0.0021776615859726,0.0028715413468754563
2.0,2.4709713392458115,0.4322398639066722,0.37457054474699947,0.12477478404867932,0.3088667609378884,6.544621090487511E-4,0.4603119658067471,0.286117649226602,0.13103723677674692,0.3523980716864272,0.2654980234954695,0.008499346124537661,0.0011435870559272623,0.012719683317585821,0.017029782509442568,0.1866962519086009,0.008710073063496145,0.0011496233738585888,0.012691245716627615,0.016858430425392996
3.0,0.7520560964676468,0.12896261208405982,0.14762823564488908,0.041781714550461736,0.06343990082266476,9.746341032801943E-4,0.1473255057159322,0.043447054203583885,0.05085555363498523,0.12764088570778992,0.3083782833721903,0.009594267240688792,0.0012900620139342628,0.014709025682590613,0.019413129582723055,0.21812758180221717,0.009955413156813493,0.0013369771880026031,0.014626999739164,0.019324826966056315
4.0,0.2252207838405146,0.03058262157398641,0.07501685599731053,0.017043535141940666,-0.005512938552575544,0.0010327836396424204,0.04698756401211336,-0.02588034107267358,0.023413799801246794,0.06253690329952355,0.33483318292968267,0.010494646975199027,0.0013682819658621052,0.016245580063852367,0.02146461661692222,0.23574943799650208,0.010685993221944365,0.0013956837253443698,0.016292978086832412,0.02113596427722372
5.0,0.07420582869996063,0.005171064027340383,0.05317407900697575,0.010678405224630512,-0.027123479217194667,0.001059685457766961,0.01999101221465585,-0.041596654163663795,0.012283224158529877,0.04056849199091977,0.3248649602313227,0.010225959096419239,0.001312460849022811,0.015864600115585183,0.02102829871269806,0.2280376716563168,0.010405508472411744,0.0013612866113788475,0.015987761763968197,0.020641412953521825
6.0,0.02003371040039774,-0.007698711055778461,0.047257339481120035,0.009329772369312303,-0.03654405875900103,0.0010748077346076571,0.00886145086771825,-0.04326866495523181,0.009013185300437657,0.03200858941721313,0.30428618759062565,0.009658450737073701,0.0012152008705093192,0.014944704796184321,0.019900447680338173,0.21277991443791386,0.009846603869586048,0.001302032452716531,0.015134897489483585,0.01950393525682013
7.0,0.005360745362475942,-0.011570231348596395,0.04418234958501998,0.008469659835175048,-0.03888033291880986,0.0010851764615663134,0.005604676215070097,-0.04121027111617558,0.008408941005834131,0.0292707776433922,0.2829044505051416,0.009112448014540916,0.0011439080473706223,0.013904202322296886,0.018639919238932278,0.19742395647044098,0.009175809547517743,0.001198988355409183,0.01412856384961229,0.01817665465902076
8.0,0.02236063438105262,-0.009483010706089529,0.04522496269961799,0.008666732957692906,-0.036197827742429425,0.0010931244960938984,0.009115525191422153,-0.03772108890640811,0.009430425018771425,0.032231791372381316,0.2648624668505674,0.008569507226999803,0.0010643705921721106,0.012984053560375347,0.017457650735573094,0.18462466929787935,0.008681419646200866,0.00113752800880158,0.013248211184106413,0.017095056598458853
9.0,0.0328385656146208,-0.007902024856157965,0.046000408461071444,0.008890616908772022,-0.03389590738914184,0.0011002919159463012,0.01110139656362011,-0.03666128824227137,0.009931667761753173,0.03427340449102891,0.25017352868586806,0.008156536439436627,0.0010178512679014757,0.012207799947817018,0.016509609665588017,0.1743887582516117,0.008207477897181731,0.001057660170290562,0.012491938079690039,0.01613589696635085
10.0,0.03796881376369898,-0.006797747890220224,0.04647812025619215,0.008792272644119418,-0.03223941937879096,0.001105173101489123,0.011836999152457756,-0.03685650236916076,0.010113764754867985,0.03553615349274449,0.23871822483041066,0.007806048057570733,9.773617250954808E-4,0.01157663798988352,0.015723552929234427,0.16657157028184846,0.00782738633698042,9.906085680429398E-4,0.011880650187701444,0.01536440875405326
11.0,0.046936247391402265,-0.00468319858058043,0.04711735773615597,0.008750908043918409,-0.029635536610581634,0.0011058647320171741,0.013444617467692948,-0.03661174645483724,0.010162034699690856,0.03728594635792622,0.22988780000204742,0.007503266915806006,9.418008750483029E-4,0.011074216281969175,0.015078643036612783,0.1606462778980852,0.007536765986770886,9.405102765674954E-4,0.011401727268299718,0.014764591462887852
12.0,0.04744244671790005,-0.004218704513074807,0.04714316477100352,0.008622150608733413,-0.02927929134036236,0.0011057126412931332,0.013556419875860254,-0.03697608526401372,0.010102486231007063,0.037386593707453564,0.22305709747577832,0.007255288920153991,9.138970610486255E-4,0.010673089139092427,0.01456277802056948,0.15616734715154773,0.007289388859699274,8.943659381705627E-4,0.011023443277887611,0.014277499107608586
13.0,0.046547505474640025,-0.0040924251178860276,0.04699842953947357,0.00822982883856485,-0.029317468734696997,0.0011042612117335828,0.013489832359450189,-0.036823179875371974,0.009959348731371116,0.03699887852200172,0.2177215527801274,0.007049302386378909,8.908349525278102E-4,0.010349772276203718,0.014145037679480426,0.1527455432858383,0.007080963756040947,8.54076484023261E-4,0.01072507149699881,0.013880950462635218
14.0,0.045281030391060746,-0.0042887827195446804,0.04685558984873038,0.008054006589650393,-0.0296328436017001,0.0011014700564086508,0.013316417056549065,-0.03658565106435721,0.009901579798635715,0.03655924442668853,0.21344246048792884,0.0068715990190448325,8.713383545570015E-4,0.01008507927827378,0.013798064938781293,0.15004419031968783,0.006907028319206803,8.206353870521311E-4,0.010487437664196825,0.013557087207128319
15.0,0.044178398739744634,-0.004413068402345732,0.04666962963887713,0.007836407002148904,-0.029908668139237246,0.001097662984342871,0.013132598168964052,-0.036208910767448525,0.009884081261080807,0.03608866699336238,0.20987282442212835,0.0067218525828863585,8.562243756510849E-4,0.009863778304107418,0.01350753767741136,0.1477973058817237,0.0067553875521395215,7.915789624604498E-4,0.010295120676204687,0.013284038409543772
16.0,0.04389836303604768,-0.00444860476962201,0.04662675161285978,0.007735458696085739,-0.029991388505668355,0.0010927710826598776,0.013022443988749804,-0.03582482858316043,0.009881036801211095,0.03580472271293218,0.20671644073371576,0.006591372932467976,8.446493574550194E-4,0.00967324619073553,0.013256897750482985,0.14577689944287026,0.006622539716763601,7.668967363890565E-4,0.010134824764745306,0.013049113841806032
17.0,0.043367000331107006,-0.004406893301477539,0.04651863822413115,0.007554606225848129,-0.029955288694875314,0.0010871475111987367,0.01279891224857151,-0.03546987552738244,0.009873976093027132,0.035365777552065644,0.20370952618997595,0.006475554979942062,8.360838859366092E-4,0.00950374409714263,0.013034864568752165,0.14377440005360925,0.006503220640964379,7.456197335198446E-4,0.009995800919772452,0.012840237310336514
18.0,0.04306125407300602,-0.004329827640344866,0.04644792611804942,0.007441583373143177,-0.02985425352487834,0.001080802999065987,0.01259542884959199,-0.03527595760281271,0.009874675116547393,0.03508087638464397,0.20062253129332774,0.006370355695496564,8.294489191073013E-4,0.009345936716689422,0.012832516629464144,0.14160738811632453,0.006393628231424016,7.273446045122616E-4,0.009868745508360614,0.012647166871948905
19.0,0.04299249097354616,-0.004296115282417079,0.04644774337724974,0.007386436113174394,-0.029812301519817532,0.001073690058221203,0.012566270150710736,-0.0352100498496409,0.009835295096061437,0.035001522830004156,0.19731019607489544,0.0062735202920956475,8.251283729475567E-4,0.009193146937198436,0.012641501798770596,0.13916652880532396,0.006290266137605184,7.10843983730403E-4,0.009745859592686732,0.012463400154536923
